Generated mailbox: dgbstest@mailsac.com: PASS
Generated name: Jctunp Pcnukf: PASS
Sent keys to launch HP Smart app.: PASS
Focused HP Smart main window.: PASS
Error launching HP Smart: timed out: FAIL
Opened Mailsac website.: PASS
Opened Mailsac inbox.: PASS
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
Refreshed Mailsac inbox.: INFO
